StudentGradeBook
gender,ethnic group,parent education level,meal plan,exam preparation,MAT grade,CIS grade,ACC grade
male,group E,master's degree,free/reduced,none,74,79,83
female,group C,associate's degree,free/reduced,none,57,70,82
male,group B,high school,free/reduced,completed,59,49,71
male,group C,some college,standard,none,74,73,61
female,group A,associate's degree,free/reduced,completed,68,66,72
male,group D,associate's degree,standard,none,95,86,99
female,group A,high school,free/reduced,none,66,59,50
female,group E,bachelor's degree,free/reduced,none,40,76,87
male,group C,associate's degree,standard,completed,100,81,71
female,group C,master's degree,standard,none,69,76,95
female,group D,high school,free/reduced,completed,50,39,49
female,group D,associate's degree,standard,completed,70,69,83
female,group C,high school,free/reduced,none,67,66,55
male,group C,high school,free/reduced,completed,75,58,56
male,group D,master's degree,standard,completed,65,80,93
female,group C,associate's degree,free/reduced,none,60,79,76
male,group D,high school,standard,completed,83,49,59
female,group C,some high school,free/reduced,completed,62,58,67
female,group C,high school,standard,completed,83,92,85
male,group D,high school,standard,none,80,76,61
female,group C,master's degree,standard,none,65,100,75
female,group C,associate's degree,standard,none,66,19,80
male,group B,some college,free/reduced,none,69,70,71
female,group C,some high school,standard,none,59,56,50
male,group E,some college,standard,completed,90,77,56
female,group A,some college,free/reduced,none,66,89,58
female,group C,some college,standard,completed,90,86,71
female,group D,high school,free/reduced,none,40,43,58
male,group C,high school,free/reduced,none,77,36,40
female,group E,bachelor's degree,standard,none,74,79,62
male,group C,bachelor's degree,standard,completed,93,54,89
female,group D,associate's degree,standard,completed,82,66,85
male,group D,some college,free/reduced,none,65,64,56
male,group C,some college,free/reduced,none,75,45,61
male,group A,some college,free/reduced,none,59,44,66
female,group D,some college,standard,none,91,77,69
male,group C,bachelor's degree,standard,none,74,74,72
female,group D,bachelor's degree,standard,none,79,80,81
male,group B,bachelor's degree,free/reduced,none,80,47,66
female,group C,associate's degree,free/reduced,none,57,71,80
male,group C,high school,free/reduced,none,32,44,54
female,group D,associate's degree,standard,completed,83,83,89
female,group A,associate's degree,free/reduced,completed,81,71,74
female,group D,some high school,standard,none,50,62,75
male,group A,some high school,standard,none,69,48,73
male,group B,some college,standard,none,46,65,77
female,group C,some college,standard,completed,85,100,96
male,group E,some high school,standard,none,55,66,69
male,group D,bachelor's degree,standard,completed,67,79,74
female,group D,high school,standard,none,59,70,62
female,group D,bachelor's degree,standard,none,76,84,100
male,group A,associate's degree,standard,none,100,47,58
male,group B,some high school,standard,completed,46,74,59
female,group D,master's degree,standard,none,88,84,78
female,group D,some college,standard,none,68,81,67
male,group C,associate's degree,free/reduced,completed,72,79,66
female,group D,high school,free/reduced,none,42,44,70
male,group A,some high school,free/reduced,none,61,39,66
male,group C,high school,standard,none,95,55,95
male,group D,some high school,standard,none,60,66,56
female,group C,high school,standard,none,61,65,71
female,group C,associate's degree,standard,none,91,72,67
female,group C,associate's degree,standard,none,97,62,67
male,group D,master's degree,free/reduced,none,80,59,60
female,group A,bachelor's degree,standard,completed,77,94,94
female,group C,high school,free/reduced,completed,58,68,61
female,group E,associate's degree,standard,none,85,65,53
female,group A,high school,standard,none,48,64,57
female,group A,associate's degree,standard,none,54,61,58
male,group E,associate's degree,standard,none,85,56,78
female,group C,associate's degree,standard,none,49,79,84
female,group C,some high school,free/reduced,completed,69,72,57
female,group C,high school,free/reduced,none,46,51,59
female,group D,high school,standard,none,62,77,69
male,group C,high school,standard,none,81,62,60
female,group C,some high school,free/reduced,completed,79,75,62
female,group D,some high school,standard,none,61,74,58
female,group C,some college,free/reduced,none,56,63,43
male,group E,associate's degree,free/reduced,none,85,56,52
male,group C,associate's degree,standard,none,65,75,75
male,group D,some high school,standard,completed,74,76,86
female,group C,high school,free/reduced,completed,52,50,49
female,group C,bachelor's degree,standard,none,56,80,81
male,group C,some college,standard,none,79,74,82
male,group C,some college,standard,none,70,70,100
female,group C,associate's degree,free/reduced,completed,53,66,92
male,group D,some college,free/reduced,completed,64,75,89
female,group E,some high school,standard,none,47,51,60
male,group C,some college,standard,completed,92,84,73
male,group B,associate's degree,standard,none,74,67,71
male,group A,high school,free/reduced,completed,62,63,52
female,group E,some college,free/reduced,none,78,52,41
female,group B,some high school,free/reduced,none,28,30,74
female,group C,high school,standard,none,51,50,79
male,group C,some college,standard,completed,80,64,94
female,group C,high school,free/reduced,none,80,64,46
female,group D,associate's degree,standard,none,84,65,70
male,group B,high school,standard,completed,85,68,69
female,group C,some high school,standard,none,57,57,62
female,group D,associate's degree,free/reduced,none,75,72,61
female,group B,associate's degree,free/reduced,none,44,82,60
female,group D,some college,standard,completed,59,70,63
male,group C,some high school,standard,none,62,60,61
male,group A,some college,standard,none,87,69,63
male,group C,some high school,standard,none,69,50,70
female,group E,high school,free/reduced,completed,73,63,87
female,group B,some high school,standard,none,58,50,72
male,group C,associate's degree,standard,none,72,53,73
male,group E,some college,free/reduced,none,50,38,62
male,group B,some high school,standard,completed,69,64,62
female,group D,high school,standard,completed,62,53,60
male,group E,associate's degree,standard,none,72,87,64
male,group D,associate's degree,standard,none,64,52,72
male,group C,high school,standard,none,49,76,73
male,group C,bachelor's degree,free/reduced,none,80,53,82
female,group C,associate's degree,standard,completed,87,70,55
male,group C,associate's degree,standard,none,64,76,52
male,group C,associate's degree,standard,completed,56,55,72
male,group D,bachelor's degree,standard,none,100,100,79
female,group C,associate's degree,free/reduced,none,63,88,77
female,group D,some high school,standard,completed,76,69,65
female,group C,some college,standard,completed,60,92,79
female,group E,associate's degree,standard,completed,78,78,90
female,group C,some high school,standard,completed,89,66,62
female,group C,high school,standard,none,66,66,66
male,group D,bachelor's degree,free/reduced,none,60,71,56
female,group D,some college,free/reduced,none,61,62,79
male,group A,master's degree,free/reduced,completed,49,48,70
male,group D,master's degree,standard,completed,94,82,82
female,group E,some high school,standard,none,59,70,58
male,group D,high school,free/reduced,none,44,46,39
female,group C,high school,standard,completed,83,82,55
female,group A,associate's degree,standard,none,72,76,81
female,group C,high school,standard,completed,65,62,74
male,group E,high school,standard,completed,82,67,68
male,group B,some college,standard,none,72,61,64
male,group E,associate's degree,free/reduced,none,69,75,65
female,group C,master's degree,standard,none,80,76,75
female,group C,some college,free/reduced,none,56,69,59
female,group C,high school,standard,none,82,74,77
female,group A,high school,standard,none,24,53,66
female,group D,associate's degree,standard,none,66,38,80
female,group A,some college,free/reduced,none,57,70,69
female,group D,some college,free/reduced,none,73,39,87
female,group A,bachelor's degree,standard,completed,80,83,98
female,group E,some college,free/reduced,none,56,49,71
male,group D,master's degree,standard,none,73,69,69
female,group C,bachelor's degree,standard,none,62,78,75
male,group D,bachelor's degree,free/reduced,none,64,69,76
male,group C,high school,standard,none,56,61,67
female,group C,bachelor's degree,free/reduced,none,70,79,87
female,group B,associate's degree,free/reduced,none,79,54,39
female,group A,bachelor's degree,standard,none,70,90,79
female,group B,associate's degree,standard,completed,96,81,100
male,group E,high school,standard,none,83,66,73
female,group B,some high school,standard,none,63,33,80
female,group D,some college,standard,none,54,67,55
male,group D,some college,standard,completed,62,80,60
male,group B,bachelor's degree,free/reduced,none,55,64,72
male,group C,high school,free/reduced,completed,65,81,74
male,group D,some high school,standard,none,57,41,54
female,group E,high school,standard,none,59,51,43
male,group C,associate's degree,free/reduced,none,80,61,66
female,group D,high school,free/reduced,none,48,60,81
female,group B,some high school,standard,none,66,59,81
male,group B,high school,standard,none,50,72,62
female,group E,associate's degree,free/reduced,completed,89,79,68
male,group B,master's degree,standard,none,58,82,65
female,group C,associate's degree,free/reduced,completed,61,79,58
female,group D,associate's degree,free/reduced,completed,87,66,68
female,group E,some high school,free/reduced,none,68,53,49
female,group C,associate's degree,standard,completed,48,72,75
female,group B,some college,standard,none,53,75,69
male,group D,associate's degree,standard,completed,84,72,88
female,group D,some college,standard,none,75,76,59
male,group C,some high school,standard,completed,66,87,72
male,group D,associate's degree,standard,completed,92,69,78
female,group C,bachelor's degree,free/reduced,none,54,74,72
female,group E,high school,free/reduced,completed,57,53,73
female,group D,some high school,free/reduced,none,49,60,57
female,group C,bachelor's degree,free/reduced,completed,51,70,72
male,group C,some high school,standard,completed,84,52,66
female,group B,some high school,free/reduced,none,64,61,32
male,group E,high school,free/reduced,none,43,74,54
male,group D,some high school,standard,none,63,48,68
male,group C,some high school,standard,none,91,69,38
female,group A,some college,standard,none,65,73,54
male,group D,some college,standard,none,88,51,68
female,group D,some college,standard,completed,85,89,69
female,group C,some college,free/reduced,none,69,77,57
female,group E,associate's degree,standard,none,62,96,78
female,group D,associate's degree,standard,none,93,62,63
female,group D,some high school,free/reduced,none,55,52,32
male,group C,high school,free/reduced,completed,66,76,53
male,group D,some college,standard,none,88,59,59
female,group D,some high school,standard,none,47,72,79
female,group B,associate's degree,free/reduced,none,67,67,83
male,group B,associate's degree,standard,none,72,91,83
female,group C,some college,standard,completed,52,95,77
female,group D,high school,free/reduced,completed,23,71,64
female,group E,bachelor's degree,standard,completed,98,79,47
female,group D,high school,standard,none,51,81,81
female,group E,some college,free/reduced,none,69,73,66
male,group C,high school,free/reduced,none,43,34,44
male,group C,high school,standard,completed,79,56,84
female,group E,some college,free/reduced,none,80,64,72
female,group B,bachelor's degree,standard,completed,100,100,90
female,group C,high school,free/reduced,completed,75,59,59
female,group E,associate's degree,standard,none,68,64,72
male,group D,high school,standard,completed,86,70,60
female,group C,high school,free/reduced,none,66,69,34
female,group C,associate's degree,standard,none,78,87,51
male,group A,bachelor's degree,standard,completed,93,86,82
female,group D,associate's degree,standard,completed,74,54,99
male,group D,some high school,free/reduced,none,77,43,30
female,group D,associate's degree,free/reduced,completed,84,68,64
male,group D,some high school,standard,completed,84,59,47
male,group D,some high school,standard,completed,63,46,75
female,group B,high school,free/reduced,none,50,68,60
male,group E,high school,standard,none,73,92,70
male,group D,associate's degree,standard,completed,91,70,67
male,group B,associate's degree,standard,none,59,79,55
female,group D,associate's degree,standard,completed,70,84,73
female,group D,some college,standard,completed,71,100,66
female,group C,associate's degree,standard,completed,67,79,87
female,group D,associate's degree,standard,none,52,73,65
female,group D,associate's degree,standard,none,77,71,73
male,group E,some college,standard,completed,77,93,92
female,group C,bachelor's degree,standard,none,77,83,72
female,group B,some college,standard,none,85,67,65
male,group D,some college,standard,completed,76,90,80
female,group C,high school,standard,none,62,64,63
male,group D,some high school,free/reduced,completed,54,58,70
male,group E,associate's degree,standard,none,66,67,76
male,group B,some college,standard,none,58,45,70
male,group C,some college,standard,none,67,82,71
male,group D,some college,standard,none,88,67,77
female,group D,associate's degree,free/reduced,none,45,78,80
female,group C,some college,standard,none,64,55,67
female,group D,associate's degree,standard,completed,96,60,83
male,group C,associate's degree,standard,none,67,80,81
female,group C,bachelor's degree,standard,none,70,94,86
male,group D,associate's degree,standard,none,77,74,49
male,group C,some college,standard,none,82,100,82
male,group B,associate's degree,standard,none,64,62,96
female,group B,high school,standard,none,75,75,58
female,group D,some college,standard,completed,84,89,56
male,group B,associate's degree,standard,none,57,79,72
female,group D,high school,free/reduced,none,48,58,56
female,group C,some high school,free/reduced,completed,56,68,66
female,group C,associate's degree,standard,none,51,57,66
male,group D,some high school,free/reduced,none,37,44,70
female,group E,some college,free/reduced,none,58,63,86
male,group D,high school,free/reduced,none,72,42,47
female,group E,some college,standard,none,56,56,88
female,group B,associate's degree,standard,completed,55,78,82
female,group C,associate's degree,free/reduced,none,75,55,70
female,group E,some college,standard,completed,69,92,99
male,group A,bachelor's degree,free/reduced,none,48,44,70
male,group D,some college,standard,none,60,90,79
male,group B,high school,standard,none,69,50,44
male,group C,some college,standard,none,97,74,89
female,group E,associate's degree,standard,completed,48,72,79
female,group B,some college,free/reduced,none,64,65,53
male,group D,some high school,standard,completed,60,66,91
male,group B,some college,free/reduced,none,66,68,63
female,group D,associate's degree,standard,none,55,68,84
female,group C,high school,standard,none,79,67,72
female,group C,high school,standard,none,58,68,74
female,group D,some college,standard,none,55,76,53
male,group A,associate's degree,free/reduced,none,73,54,52
male,group E,some college,standard,none,65,68,64
male,group A,some high school,standard,none,62,67,84
female,group E,high school,free/reduced,completed,59,69,48
male,group B,some college,free/reduced,none,78,72,56
male,group B,some college,standard,none,70,73,63
female,group D,some college,standard,none,61,64,73
male,group C,associate's degree,standard,none,84,58,81
female,group D,some college,standard,completed,87,68,79
female,group D,associate's degree,standard,completed,88,86,63
female,group D,master's degree,free/reduced,none,72,64,83
male,group C,associate's degree,standard,none,80,74,57
male,group C,high school,standard,completed,80,60,64
male,group C,high school,free/reduced,completed,48,72,46
male,group B,associate's degree,standard,completed,93,83,81
female,group A,high school,standard,none,51,74,70
female,group B,associate's degree,free/reduced,none,54,75,63
female,group E,some college,standard,none,69,78,66
female,group D,some college,free/reduced,completed,71,89,83
male,group D,bachelor's degree,standard,completed,74,68,78
male,group C,some college,standard,none,100,97,83
female,group C,some college,free/reduced,none,93,53,76
female,group D,some high school,free/reduced,none,57,68,52
male,group B,associate's degree,free/reduced,none,70,62,52
male,group E,high school,standard,none,70,66,53
female,group C,master's degree,standard,completed,92,79,97
female,group A,associate's degree,free/reduced,completed,64,57,90
female,group B,high school,free/reduced,none,37,61,57
female,group C,bachelor's degree,standard,completed,78,78,100
female,group D,bachelor's degree,free/reduced,completed,73,62,80
female,group C,some high school,standard,none,50,71,62
female,group E,some college,standard,completed,73,88,78
female,group A,master's degree,standard,none,90,81,72
female,group B,some college,standard,none,59,63,45
male,group B,some college,free/reduced,none,39,36,69
female,group A,some college,standard,completed,66,75,88
female,group B,associate's degree,standard,completed,74,86,100
female,group C,some high school,standard,none,63,59,64
female,group B,high school,free/reduced,none,70,51,45
female,group C,bachelor's degree,free/reduced,none,72,57,67
male,group C,associate's degree,standard,none,100,78,50
female,group C,high school,standard,none,72,63,65
male,group E,associate's degree,free/reduced,none,80,72,69
female,group A,high school,standard,none,53,75,56
male,group C,some college,standard,none,72,68,87
female,group B,associate's degree,standard,none,83,62,53
male,group B,high school,free/reduced,completed,58,65,78
male,group C,master's degree,standard,none,86,72,73
female,group A,master's degree,standard,none,67,100,88
female,group C,high school,free/reduced,completed,73,65,70
female,group E,associate's degree,standard,none,73,89,53
female,group C,some college,free/reduced,none,47,77,63
male,group B,some high school,free/reduced,none,74,28,38
male,group C,associate's degree,standard,none,61,73,76
female,group D,some college,standard,completed,78,72,95
male,group D,bachelor's degree,free/reduced,none,79,61,30
female,group C,high school,standard,none,67,64,50
male,group B,associate's degree,standard,none,72,61,92
female,group C,associate's degree,free/reduced,none,51,79,73
female,group B,high school,free/reduced,completed,64,67,83
male,group E,high school,standard,completed,85,78,100
female,group E,some high school,free/reduced,completed,68,72,49
male,group C,some high school,standard,none,47,62,51
male,group E,associate's degree,free/reduced,none,64,47,56
female,group C,master's degree,free/reduced,none,44,67,68
male,group D,some college,standard,completed,100,82,91
female,group B,some high school,standard,none,57,81,76
male,group C,associate's degree,free/reduced,none,46,46,57
female,group C,high school,free/reduced,none,52,76,59
male,group D,bachelor's degree,free/reduced,none,66,88,64
female,group A,some college,standard,completed,93,95,69
female,group D,associate's degree,free/reduced,none,60,70,43
male,group B,some college,standard,none,79,84,72
female,group D,some high school,standard,completed,74,65,80
male,group D,associate's degree,standard,none,81,83,66
male,group D,some college,standard,none,74,52,90
female,group C,associate's degree,standard,none,42,82,73
female,group A,associate's degree,standard,none,75,67,65
female,group C,some college,standard,none,48,67,61
female,group B,associate's degree,standard,completed,83,71,87
female,group E,some high school,standard,none,39,59,73
female,group E,bachelor's degree,free/reduced,completed,73,54,66
male,group D,some high school,standard,none,63,80,68
female,group D,associate's degree,standard,completed,79,60,79
female,group B,some college,standard,none,65,84,65
female,group B,some college,standard,none,76,69,90
male,group B,some high school,standard,completed,60,68,66
male,group A,associate's degree,free/reduced,none,90,58,45
female,group D,associate's degree,standard,none,60,73,74
female,group C,some college,standard,none,79,54,60
female,group C,some college,free/reduced,none,55,74,48
male,group B,some college,standard,none,68,78,70
female,group E,associate's degree,standard,completed,87,98,85
male,group C,bachelor's degree,standard,none,38,61,75
female,group C,high school,standard,none,44,55,66
female,group C,high school,free/reduced,none,67,49,74
male,group C,associate's degree,standard,none,85,71,78
female,group D,high school,free/reduced,completed,57,60,70
male,group D,associate's degree,standard,completed,86,80,100
female,group A,some college,standard,none,70,71,70
female,group E,associate's degree,free/reduced,none,49,55,76
female,group E,associate's degree,standard,none,87,71,52
female,group C,some college,free/reduced,none,55,59,66
male,group B,high school,standard,none,94,94,73
female,group D,some college,standard,none,64,51,71
female,group C,associate's degree,free/reduced,completed,59,85,65
female,group C,associate's degree,free/reduced,completed,59,66,44
male,group C,some high school,free/reduced,none,64,43,47
female,group D,high school,standard,completed,78,67,56
male,group B,bachelor's degree,standard,completed,78,80,79
male,group C,some college,free/reduced,completed,73,46,74
female,group C,some college,free/reduced,completed,69,64,50
female,group C,bachelor's degree,free/reduced,none,93,70,68
male,group B,associate's degree,standard,none,72,71,69
male,group E,some high school,free/reduced,none,69,43,49
male,group D,high school,free/reduced,none,91,28,62
female,group E,some high school,standard,none,63,58,72
female,group C,associate's degree,standard,completed,100,97,72
male,group B,associate's degree,standard,none,69,76,91
male,group D,some high school,standard,none,69,72,54
male,group D,associate's degree,standard,completed,79,84,71
male,group D,master's degree,standard,completed,76,79,78
male,group D,some college,free/reduced,completed,56,59,56
female,group A,bachelor's degree,free/reduced,none,78,67,83
female,group E,some college,standard,none,53,97,77
male,group A,high school,standard,completed,57,74,62
male,group B,high school,standard,completed,75,57,100
female,group C,high school,standard,none,57,83,77
female,group D,some high school,free/reduced,none,40,54,61
female,group C,some college,standard,none,89,82,48
female,group C,some college,standard,completed,75,68,80
male,group D,some college,free/reduced,completed,41,76,79
male,group E,associate's degree,free/reduced,none,49,45,36
male,group B,associate's degree,free/reduced,none,63,29,72
male,group D,some college,free/reduced,completed,44,61,48
female,group B,high school,standard,completed,52,59,84
female,group D,some college,free/reduced,none,35,71,74
female,group B,associate's degree,free/reduced,none,55,65,64
female,group C,associate's degree,standard,none,79,72,82
male,group B,some college,standard,none,70,89,82
male,group C,some college,standard,none,41,80,71
female,group D,some high school,standard,none,54,53,42
male,group C,associate's degree,free/reduced,none,74,61,91
female,group E,some high school,standard,completed,75,58,76
male,group A,bachelor's degree,free/reduced,completed,94,62,69
male,group C,master's degree,free/reduced,completed,79,86,91
female,group B,high school,standard,none,72,92,73
female,group A,associate's degree,standard,completed,66,81,87
male,group D,some high school,free/reduced,completed,34,70,55
female,group E,high school,standard,completed,66,79,91
female,group D,some high school,standard,none,42,70,70
female,group D,bachelor's degree,standard,none,63,70,65
male,group E,bachelor's degree,standard,none,63,77,61
male,group D,bachelor's degree,standard,none,86,76,90
male,group E,some college,standard,completed,52,82,46
male,group D,some college,free/reduced,none,77,75,77
female,group B,some college,free/reduced,none,63,53,54
male,group C,associate's degree,standard,none,76,70,63
male,group C,some high school,standard,completed,69,78,75
male,group C,high school,standard,none,60,69,58
male,group E,associate's degree,free/reduced,none,43,38,51
female,group D,associate's degree,free/reduced,none,78,67,57
male,group B,high school,standard,none,50,52,92
male,group A,some high school,standard,completed,70,55,71
female,group D,some college,standard,none,77,51,56
male,group D,high school,standard,none,70,63,49
female,group E,associate's degree,standard,none,83,51,80
female,group C,some high school,free/reduced,completed,67,53,67
male,group C,some college,standard,completed,73,85,79
female,group A,bachelor's degree,standard,none,100,54,71
male,group C,associate's degree,free/reduced,completed,70,79,48
male,group B,some high school,free/reduced,none,52,20,33
male,group C,high school,standard,none,85,49,59
male,group C,master's degree,standard,none,86,59,84
female,group C,some college,free/reduced,none,78,64,75
male,group C,high school,free/reduced,none,67,70,75
female,group C,associate's degree,free/reduced,none,77,62,50
female,group D,some high school,standard,none,29,54,66
female,group D,associate's degree,free/reduced,none,50,39,66
female,group E,bachelor's degree,standard,completed,69,90,90
female,group C,high school,standard,none,77,54,56
male,group C,high school,free/reduced,completed,65,35,60
male,group A,some college,standard,none,94,77,71
male,group C,some high school,standard,completed,70,58,100
male,group C,bachelor's degree,standard,none,80,74,76
female,group D,associate's degree,free/reduced,none,63,66,58
male,group A,some college,standard,none,66,76,77
female,group B,associate's degree,standard,completed,74,89,81
male,group A,associate's degree,standard,none,77,71,58
male,group C,high school,free/reduced,none,43,43,39
male,group B,bachelor's degree,standard,none,44,73,71
female,group E,associate's degree,standard,none,56,77,64
female,group D,some high school,free/reduced,none,47,74,67
female,group E,associate's degree,free/reduced,none,65,69,72
female,group D,high school,standard,completed,79,61,69
female,group C,associate's degree,standard,none,30,75,85
male,group A,associate's degree,free/reduced,completed,83,53,60
female,group C,bachelor's degree,free/reduced,none,60,48,69
male,group C,associate's degree,standard,none,53,92,80
female,group C,bachelor's degree,standard,none,100,85,52
male,group C,associate's degree,standard,completed,94,65,88
female,group C,high school,free/reduced,none,46,59,56
female,group C,some college,standard,completed,73,82,82
male,group D,some college,standard,none,79,68,68
male,group D,some college,free/reduced,completed,77,77,60
male,group C,high school,standard,none,64,56,74
male,group B,high school,free/reduced,completed,62,63,65
female,group D,bachelor's degree,standard,none,79,100,76
female,group B,some high school,standard,none,85,30,71
male,group E,bachelor's degree,free/reduced,none,77,77,50
female,group E,some college,free/reduced,none,84,71,51
female,group C,some high school,free/reduced,none,24,36,71
female,group B,some college,standard,none,73,85,55
male,group B,bachelor's degree,free/reduced,completed,93,82,79
male,group C,bachelor's degree,standard,none,83,78,80
female,group C,master's degree,standard,none,100,70,80
female,group D,high school,standard,none,99,85,57
male,group C,high school,standard,none,63,84,56
male,group B,some high school,standard,none,54,59,65
male,group D,bachelor's degree,standard,none,71,70,75
male,group C,high school,standard,none,65,83,61
female,group C,associate's degree,standard,completed,90,93,65
female,group E,some high school,standard,none,58,73,78
female,group A,bachelor's degree,standard,none,100,89,89
female,group D,master's degree,standard,completed,63,99,84
female,group E,high school,standard,none,51,67,57
male,group C,associate's degree,free/reduced,none,83,54,46
female,group C,associate's degree,standard,none,71,71,81
male,group D,bachelor's degree,standard,none,64,86,82
male,group B,associate's degree,free/reduced,none,64,70,68
male,group D,master's degree,free/reduced,none,87,81,89
male,group B,associate's degree,standard,none,76,73,73
male,group C,high school,standard,none,59,64,29
male,group A,some college,standard,completed,68,57,62
male,group E,high school,standard,none,70,65,53
male,group D,master's degree,standard,none,92,62,100
male,group C,associate's degree,standard,none,65,79,98
male,group D,some college,free/reduced,none,54,49,30
male,group B,some college,standard,none,88,100,70
female,group E,high school,free/reduced,none,60,52,46
female,group B,some high school,free/reduced,completed,58,47,69
male,group B,some high school,standard,completed,68,86,70
female,group D,high school,standard,none,72,49,81
female,group C,associate's degree,standard,completed,58,91,89
female,group C,high school,standard,none,58,70,58
female,group C,bachelor's degree,free/reduced,none,83,83,85
female,group E,master's degree,free/reduced,completed,83,69,44
male,group A,associate's degree,standard,none,71,60,45
female,group C,associate's degree,free/reduced,none,73,66,54
female,group B,bachelor's degree,free/reduced,none,54,69,67
female,group C,associate's degree,standard,completed,86,82,58
female,group D,high school,free/reduced,none,62,50,50
female,group D,master's degree,standard,none,86,77,81
female,group A,bachelor's degree,standard,completed,81,95,90
female,group C,master's degree,standard,completed,92,76,98
male,group B,some high school,free/reduced,none,67,57,36
male,group B,master's degree,free/reduced,none,58,52,80
female,group B,some college,free/reduced,completed,74,71,54
female,group B,high school,standard,none,96,72,57
female,group A,some high school,standard,completed,67,76,58
male,group E,associate's degree,standard,none,49,62,61
male,group D,associate's degree,free/reduced,none,70,53,70
female,group A,some college,standard,none,74,84,73
male,group E,high school,standard,none,77,76,81
male,group C,some high school,standard,none,74,70,63
male,group D,high school,standard,none,96,87,60
male,group A,some high school,standard,none,67,53,61
female,group C,bachelor's degree,free/reduced,none,66,59,64
male,group C,associate's degree,free/reduced,none,77,55,99
male,group B,some high school,standard,none,61,60,59
female,group C,some high school,free/reduced,none,60,73,48
male,group D,master's degree,free/reduced,none,74,67,59
male,group E,some college,standard,none,74,60,58
female,group D,associate's degree,free/reduced,none,79,35,56
male,group C,associate's degree,standard,completed,61,68,74
female,group D,associate's degree,free/reduced,none,72,56,60
female,group D,associate's degree,standard,completed,65,92,56
male,group B,some high school,standard,none,67,85,99
female,group E,bachelor's degree,standard,none,68,81,52
male,group C,high school,standard,none,74,76,57
female,group C,high school,standard,none,45,65,73
female,group D,associate's degree,free/reduced,completed,57,66,61
female,group D,associate's degree,standard,completed,96,90,100
male,group C,high school,free/reduced,none,49,40,65
female,group B,some high school,free/reduced,completed,30,62,43
female,group C,some high school,free/reduced,none,35,58,37
female,group C,some college,free/reduced,none,57,61,52
female,group B,some college,standard,none,70,79,69
male,group D,some college,free/reduced,none,52,47,54
female,group D,associate's degree,standard,none,67,63,82
male,group B,associate's degree,free/reduced,none,73,74,57
female,group C,associate's degree,standard,none,59,72,71
male,group D,some college,free/reduced,completed,69,85,75
female,group D,some college,free/reduced,none,69,58,100
male,group D,some college,standard,none,82,81,100
male,group C,high school,standard,completed,93,74,80
female,group D,some college,standard,none,78,78,78
